array,address_hex,address_decimal,word_hex,word_binary
DATA_ARRAY_0,0xAF,175,0xC5F6D50C,11000101111101101101010100001100
DATA_ARRAY_0,0xB0,176,0xFD08F2E1,11111101000010001111001011100001
DATA_ARRAY_0,0xB1,177,0xF0E13E70,11110000111000010011111001110000
DATA_ARRAY_0,0xB2,178,0x849C1240,10000100100111000001001001000000
DATA_ARRAY_0,0xB3,179,0xC844DCE9,11001000010001001101110011101001
DATA_ARRAY_0,0xB4,180,0xDA730E17,11011010011100110000111000010111
DATA_ARRAY_0,0xB5,181,0x9AFF4F72,10011010111111110100111101110010
DATA_ARRAY_0,0xB6,182,0xEA26DC98,11101010001001101101110010011000
DATA_ARRAY_0,0xB7,183,0xE4C11EA1,11100100110000010001111010100001
DATA_ARRAY_0,0xB8,184,0xE11AEEB1,11100001000110101110111010110001
DATA_ARRAY_0,0xB9,185,0x6EB1F0C4,01101110101100011111000011000100
DATA_ARRAY_0,0xBA,186,0x14F5E011,00010100111101011110000000010001
DATA_ARRAY_0,0xBB,187,0xEBF316EC,11101011111100110001011011101100
DATA_ARRAY_0,0xBC,188,0x36CCF7EE,00110110110011001111011111101110
DATA_ARRAY_0,0xBD,189,0xE71E1CDB,11100111000111100001110011011011
DATA_ARRAY_0,0xBE,190,0x8EDF2EEE,10001110110111110010111011101110
DATA_ARRAY_0,0xBF,191,0x0840CF43,00001000010000001100111101000011
DATA_ARRAY_0,0xC0,192,0x788FF067,01111000100011111111000001100111
DATA_ARRAY_0,0xC1,193,0x0F8FCF00,00001111100011111100111100000000
DATA_ARRAY_0,0xC2,194,0x00C08088,00000000110000001000000010001000
DATA_ARRAY_0,0xC3,195,0xD8007A20,11011000000000000111101000100000
DATA_ARRAY_0,0xC4,196,0x0880F008,00001000100000001111000000001000
DATA_ARRAY_0,0xC5,197,0xA04F0D08,10100000010011110000110100001000
DATA_ARRAY_0,0xC6,198,0x4F0F0700,01001111000011110000011100000000
DATA_ARRAY_0,0xC7,199,0x8B84B080,10001011100001001011000010000000
DATA_ARRAY_0,0xC8,200,0x2850F0F0,00101000010100001111000011110000
DATA_ARRAY_0,0xC9,201,0x0FB00000,00001111101100000000000000000000
DATA_ARRAY_0,0xCA,202,0xF0FEA000,11110000111111101010000000000000
