array,address_hex,address_decimal,word_hex,word_binary
CFG_ARRAY_0,0xE8,232,0x7BB7D00B,01111011101101111101000000001011
CFG_ARRAY_0,0xEA,234,0x774CBFB4,01110111010011001011111110110100
CFG_ARRAY_0,0xEC,236,0x2F427B6B,00101111010000100111101101101011
CFG_ARRAY_0,0xEE,238,0x7AF08BCE,01111010111100001000101111001110
CFG_ARRAY_0,0xF0,240,0xA3002C48,10100011000000000010110001001000
CFG_ARRAY_0,0xF2,242,0x00BD7005,00000000101111010111000000000101
CFG_ARRAY_0,0xF4,244,0x6730CE0D,01100111001100001100111000001101
CFG_ARRAY_0,0xF6,246,0x27A5032B,00100111101001010000001100101011
CFG_ARRAY_0,0xF8,248,0xFF08808B,11111111000010001000000010001011
CFG_ARRAY_0,0xFA,250,0x42B41484,01000010101101000001010010000100
CFG_ARRAY_0,0xFC,252,0x000C7744,00000000000011000111011101000100
CFG_ARRAY_0,0xFE,254,0x00BFF88D,00000000101111111111100010001101
CFG_ARRAY_1,0x00,0,0x03800E47,00000011100000000000111001000111
CFG_ARRAY_1,0x02,2,0x88018A00,10001000000000011000101000000000
CFG_ARRAY_1,0x04,4,0xB00C30F4,10110000000011000011000011110100
CFG_ARRAY_1,0x06,6,0x08080C24,00001000000010000000110000100100
CFG_ARRAY_1,0x08,8,0xF70C0400,11110111000011000000010000000000
CFG_ARRAY_1,0x0A,10,0x0883707B,00001000100000110111000001111011
CFG_ARRAY_1,0x0C,12,0xF408FD00,11110100000010001111110100000000
CFG_ARRAY_1,0x0E,14,0x000668F0,00000000000001100110100011110000
CFG_ARRAY_1,0x10,16,0xF00C000B,11110000000011000000000000001011
CFG_ARRAY_1,0x12,18,0x0700B80F,00000111000000001011100000001111
CFG_ARRAY_1,0x14,20,0x80000082,10000000000000000000000010000010
CFG_ARRAY_1,0x16,22,0x0F8CF080,00001111100011001111000010000000
CFG_ARRAY_1,0x18,24,0x07730FF0,00000111011100110000111111110000
CFG_ARRAY_1,0x1A,26,0x0407F008,00000100000001111111000000001000
CFG_ARRAY_1,0x1C,28,0x03E0080C,00000011111000000000100000001100
CFG_ARRAY_1,0x1E,30,0x0000840F,00000000000000001000010000001111
CFG_ARRAY_1,0x20,32,0x88708FF6,10001000011100001000111111110110
CFG_ARRAY_1,0x22,34,0x80002408,10000000000000000010010000001000
CFG_ARRAY_1,0x24,36,0x0000000F,00000000000000000000000000001111
CFG_ARRAY_1,0x26,38,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x28,40,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x2A,42,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x2C,44,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x2E,46,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x30,48,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x32,50,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x34,52,0x03233330,00000011001000110011001100110000
CFG_ARRAY_1,0x36,54,0x00000303,00000000000000000000001100000011
CFG_ARRAY_1,0x38,56,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x3A,58,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x3C,60,0xC0C4CCC0,11000000110001001100110011000000
CFG_ARRAY_1,0x3E,62,0x000000C0,00000000000000000000000011000000
CFG_ARRAY_1,0x40,64,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x42,66,0x00000000,00000000000000000000000000000000
CFG_ARRAY_1,0x44,68,0xECF0F330,11101100111100001111001100110000
CFG_ARRAY_1,0x46,70,0xB6128BF5,10110110000100101000101111110101
CFG_ARRAY_1,0x48,72,0x6D2741EB,01101101001001110100000111101011
CFG_ARRAY_1,0x4A,74,0xD4E92BB0,11010100111010010010101110110000
CFG_ARRAY_1,0x4C,76,0xAE11EC44,10101110000100011110110001000100
CFG_ARRAY_1,0x4E,78,0x731EA3E4,01110011000111101010001111100100
CFG_ARRAY_1,0x50,80,0x40BBC522,01000000101110111100010100100010
CFG_ARRAY_1,0x52,82,0x52712670,01010010011100010010011001110000
